#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
3.841504518132565771e-01 2.082757886126242186e-02
3.856870536205096456e-01 2.086237021930630042e-02
3.872298018349916715e-01 2.077114370516839476e-02
3.887787210423316320e-01 2.063377040914301380e-02
3.903338359265008939e-01 2.068810008884572338e-02
3.918951712702069545e-01 2.071758309711392229e-02
3.934627519552877928e-01 2.221407014270270971e-02
3.950366029631089404e-01 2.055366761731350356e-02
3.966167493749613859e-01 2.170763862326736959e-02
3.982032163724612550e-01 2.035246425870833320e-02
3.997960292379510450e-01 2.019810726265391237e-02
4.013952133549028578e-01 2.017462799240622717e-02
4.030007942083224659e-01 2.005035218628545973e-02
4.046127973851557647e-01 2.022193397905019951e-02
4.062312485746963908e-01 2.032697638558296840e-02
4.078561735689951728e-01 2.028743677717407407e-02
4.094875982632711353e-01 2.013197727539921961e-02
4.111255486563242245e-01 2.007224281634932897e-02
4.127700508509495880e-01 2.020939055966481518e-02
4.144211310543532978e-01 2.025044081715840147e-02
4.160788155785707931e-01 2.014129320551893629e-02
4.177431308408850463e-01 2.027994456695730169e-02
4.194141033642486138e-01 2.035690381984876438e-02
4.210917597777056320e-01 2.031497397491207474e-02
4.227761268168164221e-01 2.087013854256722714e-02
4.244672313240837602e-01 2.039672516346099918e-02
4.261651002493800910e-01 2.028714752525206250e-02
4.278697606503775730e-01 2.040193300323659559e-02
4.295812396929790666e-01 2.054911723571019311e-02
4.312995646517510107e-01 2.041017989000106642e-02
4.330247629103580187e-01 2.029456778320318580e-02
4.347568619619994745e-01 2.019088938599033697e-02
4.364958894098474596e-01 2.018692767218052686e-02
4.382418729674867897e-01 2.033354587889045148e-02
4.399948404593567730e-01 2.034060785055299969e-02
4.417548198211941890e-01 2.024949588188596980e-02
4.435218391004789873e-01 2.038024163877737160e-02
4.452959264568808750e-01 2.036866071792073005e-02
4.470771101627084021e-01 2.029856664721277348e-02
4.488654186033592119e-01 2.031014407037395192e-02
4.506608802777726241e-01 2.017895951117556347e-02
4.524635237988837710e-01 2.032222141107234425e-02
4.542733778940792333e-01 2.031625014444423186e-02
4.560904714056555065e-01 2.022018917207080851e-02
4.579148332912781894e-01 2.021956771095161434e-02
4.597464926244433370e-01 2.026599891757185912e-02
4.615854785949410899e-01 2.019742461419006888e-02
4.634318205093208576e-01 2.028042209921821631e-02
4.652855477913582227e-01 2.023268777861793322e-02
4.671466899825236219e-01 2.024142765256897042e-02
4.690152767424536906e-01 2.024810720480619761e-02
4.708913378494234969e-01 2.018797018198867713e-02
4.727749032008212171e-01 2.020902517337649223e-02
4.746660028136244769e-01 2.016392124573829561e-02
4.765646668248789131e-01 2.025717226373225516e-02
4.784709254921784560e-01 2.024188872397508082e-02
4.803848091941470555e-01 2.022585484585049526e-02
4.823063484309236815e-01 2.018936276165811394e-02
4.842355738246474361e-01 2.020553331473400396e-02
4.861725161199459966e-01 2.023844839337991808e-02
4.881172061844257226e-01 2.023838417200796158e-02
4.900696750091634302e-01 2.019933302253010265e-02
4.920299537092001074e-01 2.019787170152152755e-02
4.939980735240369625e-01 2.014788940588670141e-02
4.959740658181330253e-01 2.025920102552885085e-02
4.979579620814056362e-01 2.025681151696512305e-02
4.999497939297311566e-01 2.031663454265593416e-02
5.019495931054501758e-01 2.038765948851161899e-02
5.039573914778719965e-01 2.031293212067806012e-02
5.059732210437835054e-01 2.031877433947024483e-02
5.079971139279585435e-01 2.026698994354418984e-02
5.100291023836703852e-01 2.030721901055819109e-02
5.120692187932051054e-01 2.029242353424576262e-02
5.141174956683780550e-01 2.035951100489489379e-02
5.161739656510514473e-01 2.046307199842203536e-02
5.182386615136556074e-01 2.052450027380748818e-02
5.203116161597103329e-01 2.039107686945545311e-02
5.223928626243490303e-01 2.034216605838244304e-02
5.244824340748465152e-01 2.029255798683011341e-02
5.265803638111459239e-01 2.036080813869686409e-02
5.286866852663905103e-01 2.023327745097370373e-02
5.308014320074561088e-01 2.019881774426801960e-02
5.329246377354859288e-01 2.030126727181459992e-02
5.350563362864277916e-01 2.021336762105804818e-02
5.371965616315735881e-01 2.028273104341728542e-02
5.393453478780998456e-01 2.031153431318515404e-02
5.415027292696121819e-01 2.026996902707969145e-02
5.436687401866906466e-01 2.033914918472187749e-02
5.458434151474373941e-01 2.032163504575669119e-02
5.480267888080271321e-01 2.029284926630242278e-02
5.502188959632591247e-01 2.032926766754881640e-02
5.524197715471121928e-01 2.027244480412416019e-02
5.546294506333006025e-01 2.023376500087732677e-02
5.568479684358338400e-01 2.028543635090594016e-02
5.590753603095770519e-01 2.032458088235426438e-02
5.613116617508153716e-01 2.032037760715535782e-02
5.635569083978186899e-01 2.030717043640709735e-02
5.658111360314097560e-01 2.031116607855817241e-02
5.680743805755354980e-01 2.028884919024259020e-02
5.703466780978375672e-01 2.030064379632082194e-02
5.726280648102289872e-01 2.026839010847849773e-02
5.749185770694699160e-01 2.026393449980298106e-02
5.772182513777477375e-01 2.027201103890108325e-02
5.795271243832587071e-01 2.024765549362944964e-02
5.818452328807918184e-01 2.025458229295600335e-02
5.841726138123150003e-01 2.025433920223440598e-02
5.865093042675643131e-01 2.031235855182924113e-02
5.888553414846344758e-01 2.035493558683626122e-02
5.912107628505729462e-01 2.035430316191635947e-02
5.935756059019753339e-01 2.033647035466608355e-02
5.959499083255832552e-01 2.034222287187508610e-02
5.983337079588855190e-01 2.032067106355992317e-02
6.007270427907210886e-01 2.032095483880757419e-02
6.031299509618840426e-01 2.028824831295359885e-02
6.055424707657315331e-01 2.028911667451141834e-02
