#Wavelength[um] Fp[W/m2/m] Fp/Fstar[ppm] Fstar[W/m2/m]
1.654580667462274002e-01 4.422343083881867677e+07 8.805300210273910011e+01 9.980666093818181992e+09
1.661198990132123077e-01 3.460315831934703887e+07 4.724146100297301132e+01 1.455605478328358269e+10
1.667843786092651215e-01 3.342098112264362350e+07 4.316104118674162748e+01 1.538787126254545593e+10
1.674515161237022098e-01 3.141038767365523055e+07 3.798271602491839616e+01 1.643382061038805962e+10
1.681213221881969755e-01 2.566789288387842849e+07 2.456743611752118994e+01 2.076259558017910385e+10
1.687938074769497754e-01 2.524774323560332134e+07 1.471541126001320343e+01 3.409584222352941132e+10
1.694689827068575905e-01 2.538385241074931249e+07 1.366942051644742762e+01 3.690274666770149231e+10
1.701468586376850278e-01 2.613542129448257014e+07 1.169937484723169696e+01 4.439336965129412079e+10
1.708274460722357391e-01 3.618396580519503355e+07 1.225602747340886012e+01 5.867021779764705658e+10
1.715107558565246715e-01 4.533305895590407401e+07 1.452140888159706300e+01 6.203796349913042450e+10
1.721967988799507909e-01 4.165831735590454936e+07 1.272707528037570590e+01 6.504656589217390442e+10
1.728855860754705820e-01 4.836510054747243226e+07 1.372236824849482595e+01 7.004131435037681580e+10
1.735771284197724640e-01 4.220379466767989844e+07 1.114102980642158869e+01 7.527962156521737671e+10
1.742714369334515678e-01 4.018483528707965463e+07 1.105440585474749859e+01 7.224005186504347229e+10
1.749685226811853456e-01 3.923659032651485503e+07 9.700592011971592044e+00 8.037931162434782410e+10
1.756683967719100681e-01 3.508266786177985370e+07 7.126598521752638860e+00 9.782764082560000610e+10
1.763710703589977391e-01 4.257871431906154752e+07 8.071926595350248590e+00 1.048254177133714294e+11
1.770765546404337309e-01 4.876582506673657894e+07 9.652404867736526839e+00 1.003994441392676086e+11
1.777848608589954471e-01 5.067659648934470117e+07 6.811362436951887034e+00 1.478511515135999756e+11
1.784960003024314568e-01 5.170228341304983944e+07 6.069338391530735066e+00 1.692854506402253418e+11
1.792099843036411844e-01 5.753217627433654666e+07 4.526851776102122749e+00 2.525607100358309937e+11
1.799268242408557650e-01 5.687738290813814849e+07 3.166958188569767962e+00 3.569016348160000000e+11
1.806465315378191772e-01 6.242508704821536690e+07 5.022895044819920329e+00 2.469768885520000000e+11
1.813691176639704306e-01 6.494317985197313130e+07 4.730328533335963037e+00 2.728308692585205688e+11
1.820945941346263086e-01 6.596709074348952621e+07 4.864063679374560856e+00 2.695127660657778015e+11
1.828229725111648329e-01 7.296976241142556071e+07 6.726256787915246171e+00 2.155860973589040833e+11
1.835542644012094771e-01 7.979588044973456860e+07 6.027943727810598951e+00 2.630646808562162170e+11
1.842884814588143239e-01 9.271258441626000404e+07 8.702405797883811189e+00 2.117145074866849365e+11
1.850256353846495561e-01 1.108272708911159933e+08 1.379283281529547800e+01 1.596777589483242798e+11
1.857657379261881403e-01 9.644859736141942441e+07 6.832470488505506978e+00 2.805236064034594727e+11
1.865088008778928996e-01 1.038181701527679861e+08 5.866645571992724406e+00 3.516695618730666504e+11
1.872548360814044743e-01 1.184241147741858363e+08 7.307110798185588507e+00 3.220666206131892090e+11
1.880038554257300876e-01 1.204131223137042224e+08 5.958522107268918511e+00 4.015933611174053955e+11
1.887558708474330049e-01 1.218804686682122797e+08 6.219783372696133128e+00 3.894127065429332886e+11
1.895108943308226879e-01 1.321876899034132957e+08 7.121443254076189611e+00 3.688707823615999756e+11
1.902689379081460019e-01 1.488805044396141469e+08 8.774417618151460374e+00 3.371869769932800293e+11
1.910300136597785636e-01 1.518955323065598011e+08 7.991180468824325978e+00 3.777333440303157959e+11
1.917941337144176972e-01 1.503836113377960920e+08 6.832194641381663658e+00 4.374128540968421021e+11
1.925613102492753359e-01 1.615961263874453306e+08 7.962696876467838081e+00 4.032942450102857056e+11
1.933315554902724498e-01 1.883027509365836084e+08 9.438817409891179011e+00 3.964517522684675293e+11
1.941048817122335568e-01 1.904251640020339489e+08 7.988171315403544526e+00 4.737271003503589478e+11
1.948813012390824828e-01 2.119929415746981502e+08 7.931847230193354470e+00 5.311269297624615479e+11
1.956608264440388156e-01 2.153272066480437517e+08 6.469715384869614283e+00 6.614012217042050781e+11
1.964434697498149418e-01 2.278490006015200317e+08 6.234659105222058351e+00 7.262492176278974609e+11
1.972292436288141937e-01 2.380073348849456906e+08 6.179326780793042317e+00 7.654211186843543701e+11
1.980181606033294406e-01 2.889048739828409553e+08 1.014836033831008066e+01 5.657313570835443115e+11
1.988102332457427346e-01 3.040496222118079662e+08 9.521849977097796014e+00 6.345624881903797607e+11
1.996054741787257336e-01 2.996975373675023317e+08 6.735814788171508916e+00 8.841873540991999512e+11
2.004038960754406518e-01 3.317190250650398731e+08 8.142121985975267151e+00 8.096252375615999756e+11
2.012055116597424309e-01 3.555990433558616638e+08 8.560223081009308288e+00 8.255184105280000000e+11
