#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
2.456549466173099938e-01 2.270816485470767906e-02
2.466375664037792625e-01 2.293354025805376811e-02
2.476241166693943785e-01 2.310955919904868205e-02
2.486146131360719436e-01 2.399602583985662591e-02
2.496090715886161993e-01 2.318982059643780527e-02
2.506075078749706586e-01 2.318171975816700828e-02
2.516099379064705155e-01 2.339191877699822383e-02
2.526163776580964138e-01 2.364175376069553580e-02
2.536268431687287994e-01 2.278839489379319225e-02
2.546413505414037437e-01 2.274722116899313695e-02
2.556599159435693491e-01 2.250490100135794924e-02
2.566825556073435988e-01 2.275368605947641898e-02
2.577092858297729827e-01 2.261819666378215438e-02
2.587401229730920682e-01 2.283572362884109253e-02
2.597750834649844576e-01 2.291561948142347566e-02
2.608141837988444123e-01 2.278154441417737028e-02
2.618574405340398092e-01 2.258172208514867482e-02
2.629048702961759298e-01 2.261263609745609027e-02
2.639564897773606367e-01 2.211367004109309614e-02
2.650123157364701054e-01 2.212991193307555990e-02
2.660723649994159445e-01 2.214310655160670743e-02
2.671366544594135917e-01 2.227773520081626629e-02
2.682052010772512096e-01 2.212142277593297235e-02
2.692780218815602478e-01 2.226529005196068584e-02
2.703551339690865030e-01 2.206305570733255519e-02
2.714365545049627904e-01 2.238411945254213664e-02
2.725223007229827243e-01 2.243881302873459646e-02
2.736123899258746106e-01 2.243270587943843597e-02
2.747068394855781692e-01 2.250960996108070794e-02
2.758056668435204806e-01 2.226883516939087010e-02
2.769088895108945403e-01 2.201100656587517621e-02
2.780165250689380918e-01 2.216408250291754256e-02
2.791285911692138466e-01 2.305360009491529832e-02
2.802451055338907038e-01 2.324420773494577722e-02
2.813660859560263017e-01 2.189789236965651240e-02
2.824915502998503469e-01 2.187794917030650918e-02
2.836215165010497197e-01 2.200207029881737913e-02
2.847560025670539119e-01 2.324097381040816229e-02
2.858950265773221866e-01 2.266411369167671552e-02
2.870386066836315142e-01 2.193092896088523480e-02
2.881867611103660631e-01 2.182219499585520694e-02
2.893395081548075787e-01 2.156824943232036815e-02
2.904968661874267610e-01 2.152541784029413097e-02
2.916588536521764197e-01 2.151655652093475979e-02
2.928254890667851273e-01 2.162183590222375995e-02
2.939967910230522619e-01 2.164172626658019891e-02
2.951727781871444911e-01 2.181065544892126992e-02
2.963534692998930908e-01 2.174412374955190033e-02
2.975388831770926501e-01 2.171529007617292034e-02
2.987290387098009981e-01 2.166578658433135698e-02
2.999239548646402409e-01 2.187194222232098639e-02
3.011236506840988536e-01 2.153593133105139237e-02
3.023281452868351593e-01 2.206171381763808934e-02
3.035374578679824742e-01 2.141874158806544859e-02
3.047516076994544187e-01 2.147347316925715330e-02
3.059706141302522830e-01 2.147993793591003106e-02
3.071944965867733357e-01 2.137121634397306721e-02
3.084232745731204095e-01 2.113378761409240303e-02
3.096569676714128194e-01 2.136900302601458038e-02
3.108955955420985018e-01 2.101331688948893800e-02
3.121391779242668751e-01 2.109775825712507241e-02
3.133877346359639215e-01 2.100066140221090033e-02
3.146412855745078230e-01 2.099380411015169465e-02
3.158998507168058190e-01 2.117102277090946935e-02
3.171634501196730627e-01 2.089610837117503173e-02
3.184321039201517545e-01 2.103103373292947859e-02
3.197058323358323295e-01 2.109438702249380113e-02
3.209846556651756444e-01 2.102010433713325660e-02
3.222685942878363852e-01 2.102876430179804329e-02
3.235576686649877520e-01 2.115288553628902335e-02
3.248518993396476984e-01 2.091558535594722004e-02
3.261513069370062801e-01 2.075698660952637539e-02
3.274559121647543369e-01 2.075806896090754208e-02
3.287657358134133401e-01 2.072352355876320301e-02
3.300807987566670154e-01 2.063022586288468241e-02
3.314011219516936890e-01 2.056704578377461373e-02
3.327267264395004642e-01 2.065985221000482541e-02
3.340576333452584534e-01 2.063772755655319396e-02
3.353938638786395088e-01 2.063340293894614513e-02
3.367354393341540630e-01 2.064544402840360823e-02
3.380823810914907468e-01 2.055993152566790508e-02
3.394347106158566718e-01 2.051193818096576360e-02
3.407924494583201014e-01 2.048675455209872376e-02
3.421556192561533982e-01 2.046307917413714428e-02
3.435242417331779707e-01 2.052380494077665415e-02
3.448983387001106626e-01 2.049588859164784907e-02
3.462779320549111417e-01 2.038698139645902380e-02
3.476630437831307319e-01 2.050595206477638308e-02
3.490536959582632992e-01 2.036681238810580594e-02
3.504499107420963600e-01 2.020895875805337610e-02
3.518517103850647421e-01 2.027263018651343993e-02
3.532591172266050239e-01 2.025408586707716507e-02
3.546721536955114717e-01 2.005904131568934587e-02
3.560908423102934761e-01 2.037533606492966665e-02
3.575152056795346533e-01 2.073401414177987456e-02
3.589452665022527800e-01 2.049160277088596729e-02
